Video_Track,Treatment,Speed.Mean,Speed.Max,Acceleration.Mean,Acceleration.Max,Straightness,Sinuosity,Emax,MeanDC,SDDC,Turning.Angle.Mean,Turning.Angle.Max,Direction.Ratio,Distance,Length,Zero.Movement,Moving.Percentage
IO_2rot_Track1,Instant Ocean,0.031620994,0.095851264,0.02656576,0.20827779,0.240352158,4.908750265,76.46453926,75.52483565,126.8101466,-0.022235921,2.156499645,0.632727273,0.232193903,0.966057079,7.90321978,73.65593407
IO_2rot_Track2,Instant Ocean,0.039621296,0.059558846,0.022268269,0.104202145,0.072623111,3.754585191,104.0499819,82.26450051,93.43557792,-0.047053149,2.082584408,0.261235955,0.088547698,1.219277126,1.39998561,95.3333813
IO_3rot_Track2,Instant Ocean,0.035757332,0.145007914,0.038283273,0.334643574,0.43766543,6.960161482,32.94243542,104.6188697,218.5037147,-0.045520774,2.895459414,0.511784512,0.478172711,1.092553074,10.10918828,66.30270574
IO_4rot_Track1,Instant Ocean,0.058505146,0.09041508,0.027352133,0.156892978,0.121943723,3.205060456,96.71307049,74.15164,156.8499,-0.03243126,3.141447,0.62,0.197420372,1.618946575,2.183932364,92.72022545
IO_4rot_Track2,Instant Ocean,0.076798555,0.155354925,0.051682475,0.287180511,0.183344653,2.858852083,93.85559504,64.69062849,121.9410426,-0.024056614,2.635481397,0.730192719,0.384310987,2.096112323,0.606650734,97.97783089
IO_4rot_Track3,Instant Ocean,0.021575465,0.064534882,0.030400954,0.12174932,0.096116322,7.519634734,46.02695115,113.326249,142.0632483,-0.00405983,1.43781497,0.946987952,0.058615304,0.609837151,9.987363501,66.70878833
IO_4rot_Track4,Instant Ocean,0.050919997,0.079240055,0.025054534,0.146707262,0.25862626,3.915028664,74.64794516,81.26439329,130.7285774,-0.01326333,2.566314318,0.87037037,0.362849233,1.402986817,2.816890835,90.61036388
IO_5rot_Track3,Instant Ocean,0.067517219,0.1046328,0.051557156,0.225172185,0.314336099,3.461580859,73.1100788,62.97261132,143.4734169,0.002219969,2.570653284,1.064367816,0.640084582,2.036306307,1.356942186,95.47685938
IO_5rot_Track4,Instant Ocean,0.036781701,0.073074938,0.010462617,0.117519961,0.01902693,4.539998072,78.5038647,54.39730712,151.4847663,0.017678685,3.104743381,5.368794326,0.020958215,1.101502686,4.604286195,84.65237935
IO_5rot_Track5,Instant Ocean,0.059482802,0.078252936,0.018450486,0.168726197,0.134179661,2.172166913,210.6069609,47.63993652,74.55862964,-0.022324638,1.837178163,0.499165275,0.242163789,1.804772693,0.351919238,98.82693587
Rotenone_5rot_1_Track1,Rotenone,0.029351706,0.054299279,0.021489984,0.120287305,0.182757989,6.924070718,42.16218897,73.00469802,207.3131179,-0.008429196,3.128770724,0.647706422,0.160154767,0.876321563,4.801658845,83.99447052
Rotenone_6rot_Track2,Rotenone,0.025353069,0.060083743,0.030918082,0.116711186,0.097834142,6.263400699,58.92701752,89.08738686,149.0365446,0.029684772,2.870408686,2.174242424,0.070217164,0.71771636,2.909481769,90.30172744
Rotenone_6rot_Track3,Rotenone,0.03699789,0.076458425,0.024748202,0.137734707,0.116149875,5.194666956,59.64382947,52.14251263,197.7128918,0.012974663,3.131038114,1.132315522,0.119957587,1.032782745,1.506105871,94.9796471
Rotenone_6rot_Track4,Rotenone,0.046860339,0.072751083,0.031488619,0.156177524,0.235045313,4.555727863,60.80551751,59.89470109,171.9941993,-0.012750491,3.03131506,1.408045977,0.309584842,1.317128336,0.901414133,96.99528622
Rotenone_6rot_Track5,Rotenone,0.031285481,0.058111348,0.026375513,0.126557033,0.447925952,4.497063943,93.88497923,68.1620683,118.9305664,-0.04604815,2.574144243,0.439862543,0.393343512,0.878144056,1.218283338,95.93905554
Rotenone_5rot_Track1,Rotenone,0.022321249,0.059477393,0.027770576,0.112045297,0.285906821,9.07384189,33.572778,108.0071693,205.8502099,0.013768201,2.799651244,1.356955381,0.182075187,0.63683401,6.20779625,79.30734583
Rotenone_5rot_Track2,Rotenone,0.040884169,0.059485803,0.013909643,0.10055621,0.315814699,1.952457547,382.2502715,31.49289812,54.50397768,0.006647103,0.843072909,0.882599581,0.389137274,1.23216961,0.608944901,97.97018366
Rotenone_5rot_Track3,Rotenone,0.041843253,0.076325358,0.043478193,0.173128371,0.33688357,4.220243505,79.25236315,55.16694061,133.0983684,-0.003485836,1.830570287,1.031674208,0.425714235,1.263683578,2.413279805,91.95573398
Rotenone_5rot_1_Track2,Rotenone,0.012555202,0.04689577,0.01453744,0.067998555,0.45382933,10.21490841,44.64442487,83.06989615,180.0136167,-0.038387932,2.706228728,0.694339623,0.172037381,0.379079469,13.04947333,56.50175556
Rotenone_5rot_1_Track3,Rotenone,0.024505381,0.031765701,0.005008523,0.030055294,0.025611668,1.483994502,1098.87408,35.14184449,10.41898893,-0.040889429,0.086041475,0,0.019020115,0.742634784,0,100
SS31_4rot_Track1,Elamipretide,0.096599409,0.132873997,0.049101835,0.29616113,0.184573889,2.838023006,75.57016117,44.11413074,157.3546738,0.008349089,2.505180344,0.624691358,0.396700827,2.149279232,0.449963994,98.50012002
SS31_4rot_Track2,Elamipretide,0.103326165,0.130401591,0.060363167,0.279640016,0.175388644,2.559920312,87.10945562,48.50569277,139.1523746,-0.000920363,2.411774663,0.94100295,0.402481364,2.294797171,0.135295301,99.54901566
SS31_4rot_Track3,Elamipretide,0.098808895,0.130801369,0.054228575,0.283979977,0.277921055,2.511177429,93.68574905,64.09043974,115.9617501,-0.008762497,1.700099823,0.653266332,0.616405185,2.217914668,0.264869509,99.11710164
SS31_4rot_Track4,Elamipretide,0.100884538,0.134787635,0.048462996,0.255149827,0.212815235,1.932007351,157.8667173,43.27885446,97.95713154,-0.013456743,2.245952205,0.97005988,0.474414992,2.229234158,0.065516885,99.78161038
SS31_Eggs_6rot_Track1,Elamipretide,0.073156686,0.113771603,0.057658003,0.236329121,0.238386413,3.490789343,66.11732203,57.99408414,162.0340149,-0.007203679,2.672803843,1.217283951,0.527335682,2.212104607,0.796870099,97.34376634
SS31_5rot_Track1,Elamipretide,0.09851522,0.133992686,0.063257378,0.290298093,0.042998954,2.659573833,84.70041861,45.46852445,145.2940558,-0.005862255,2.746263883,0.870833333,0.128212991,2.981769959,0.286884574,99.04371809
SS31_5rot_Track2,Elamipretide,0.092861465,0.129785217,0.047889786,0.27772753,0.2078379,2.587560178,95.3237436,57.20212739,125.4046132,-0.005286362,2.575589164,0.767716535,0.582015697,2.800334765,0.266396332,99.11201223
SS31_5rot_Track3,Elamipretide,0.090357448,0.144873119,0.055118178,0.314928839,0.149399497,3.031013657,71.11436174,68.31406659,145.3095158,0.004632591,2.626282596,1.515406162,0.407671217,2.728732191,0.256875674,99.14374775
SS31_5rot_Track4,Elamipretide,0.086830771,0.12730705,0.057854572,0.261980627,0.042432914,2.618621276,98.16964971,57.73696703,126.872317,-0.007333704,2.707503079,0.882599581,0.112677637,2.655430087,0.412625798,98.62458067
SS31_5rot_Track5,Elamipretide,0.072055347,0.123257419,0.055722365,0.260263998,0.089057382,3.324542762,74.16623719,61.11451555,146.0288924,0.000369797,2.900384286,0.922912206,0.193656478,2.174513479,3.178992623,89.40335792